,census_tract,lat,lon,ZCTA5,pop9,median_fam_inc_9,median_hh_inc_9,median_house_value_9,median_rent_9,median_fam_inc_0,median_hh_inc_0,median_house_value_0,median_rent_0,median_fam_inc_1,median_hh_inc_1,median_house_value_1,median_rent_1,rent_units_9,rent_units_0,rent_units_1
1877,36081076901,40.7164439,-73.83755440000002,11375.0,3316,47424,32437,352082,538,79191,56200,377498,967,117421,68026,292400,1268,1304,1249,1051
1878,36081076902,40.7150152,-73.8339605,11375.0,1552,42951,30332,452436,558,52387,47900,375911,888,102500,75625,361700,1509,713,564,493
1879,36081077300,40.710859899999996,-73.8353244,11415.0,1266,47701,33628,433358,610,61470,59547,424199,844,88333,62197,199100,1100,450,691,588
1880,36081077500,40.7090995,-73.83227,11415.0,2263,48750,38237,409100,595,62269,48451,414000,772,63375,46944,825500,1189,708,733,728
1881,36081077902,40.7252799,-73.8248477,11367.0,5023,55515,47500,242700,636,65142,56862,300300,964,81042,73048,556100,1536,554,643,548
1882,36081077903,40.719226299999995,-73.82160309999999,11367.0,2447,42321,37500,347500,537,47208,46610,414500,817,62083,60132,232300,1117,818,752,627
1883,36081077904,40.720962,-73.81413909999999,11367.0,5445,43978,37312,204000,539,58234,53708,211100,858,62500,49527,254300,1209,906,1203,1072
1884,36081077905,40.7173235,-73.8129281,11435.0,2805,56813,46280,137217,624,63276,54452,133652,804,85455,61400,245800,1041,543,462,268
1885,36081077906,40.729388799999995,-73.8187323,11367.0,3563,41473,35736,218800,490,41624,39070,236700,729,73125,49201,220200,1193,1016,1096,630
1886,36081077907,40.7249697,-73.8184478,11367.0,2654,41473,35736,218800,490,41624,39070,236700,729,53647,46923,555400,1052,757,816,701
1887,36081077908,40.725606299999995,-73.8136817,11367.0,2509,41473,35736,218800,490,41624,39070,236700,729,42471,44583,446400,1232,717,772,1220
1888,36081078800,40.6703261,-73.79036540000001,11436.0,1506,31534,27260,122500,711,50417,48523,141900,764,93690,60543,337900,1526,103,154,176
1889,36081079000,40.6724787,-73.7966161,11436.0,2239,35082,25862,113058,686,39986,33443,161970,851,64405,63214,429100,1166,285,373,382
1890,36081079200,40.6689436,-73.7969176,11436.0,2218,51318,44250,142297,735,42178,40229,158989,781,69268,72794,415100,1351,196,312,248
1891,36081079300,40.7363734,-73.83147170000001,11367.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1892,36081079701,40.75334539999999,-73.8247561,11355.0,2889,33017,29623,170100,642,40981,37897,198700,844,52885,50210,274500,1252,923,950,2078
1893,36081079702,40.75134,-73.8294238,11355.0,7511,33017,29623,170100,642,40981,37897,198700,844,34441,34318,309100,1114,2402,2473,1057
1894,36081079900,40.7469854,-73.827383,11355.0,2380,49375,41696,238300,842,60588,52500,267100,952,70040,62589,642600,1405,427,597,616
1895,36081080301,40.744751799999996,-73.8309053,11355.0,2977,41768,36289,218360,756,46318,39609,234492,841,49861,51688,632500,1375,534,710,777
1896,36081080302,40.740323,-73.82605500000001,11367.0,2544,48941,45757,203000,849,71414,61452,228100,764,80720,80318,503700,1681,184,209,301
1897,36081080900,40.7338854,-73.82234040000002,11367.0,6321,44122,37260,213800,452,55438,47867,238300,690,78087,57222,224800,942,1371,1243,713
1898,36081081400,40.670692100000004,-73.8039227,11420.0,2826,37833,36833,125500,668,58854,52730,161300,867,60121,66818,436800,1346,145,255,343
1899,36081081800,40.670537100000004,-73.8090558,11420.0,3053,42961,42799,139600,687,51354,49631,162000,962,67933,64318,485700,1412,339,379,408
1900,36081083700,40.7447904,-73.8197988,11355.0,4408,41759,36321,204045,755,57675,50354,214900,858,50903,49868,497700,1399,382,553,587
1901,36081083800,40.6702951,-73.8195098,11420.0,3772,44784,40485,169100,635,56141,52179,190700,808,65142,62526,542500,1379,357,460,536
1902,36081084000,40.67394960000001,-73.81765209999999,11420.0,4901,41205,38051,161000,605,48448,47908,180300,848,62786,59464,461600,1326,502,675,707
1903,36081084500,40.7499656,-73.8202293,11355.0,4491,33182,24314,212500,531,40565,32609,215900,755,47553,34795,562500,1028,1607,1640,1727
1904,36081084601,40.6673404,-73.8217385,11420.0,2280,47778,40804,178800,714,58594,43167,225000,804,81042,82188,616200,1258,267,371,318
1905,36081084602,40.665128499999994,-73.81661590000002,11420.0,438,29762,30625,158800,389,58875,53646,200000,1108,62652,57400,617100,1311,16,26,91
1906,36081084900,40.7547095,-73.83299790000001,11355.0,5854,28756,27895,248943,579,34470,32301,243541,754,36558,41750,451700,1112,1740,2009,2032
1907,36081085300,40.757152000000005,-73.82765309999999,11355.0,5395,31155,27298,350000,674,31960,30886,250000,841,29019,32530,286600,1222,1339,1526,1309
1908,36081085500,40.7596421,-73.8236353,11355.0,6462,35031,28496,0,591,36297,33343,625000,772,51690,41410,221500,1137,2398,2499,2233
